index	text	gold_answer	slice	llm_answer	llm_explanation
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	Non-assertive conduct	No	The fact that James came first in his class is not a statement made by a person; it is a fact or result. Hearsay only applies to out-of-court statements offered for their truth, so this is not hearsay.
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	Non-assertive conduct	No	The fact that Robert fell asleep while driving is not a statement; it is a description of conduct or an event. Hearsay only applies to out-of-court statements offered for the truth of the matter asserted, so this is not hearsay.
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	Non-assertive conduct	No	John's preference for sweatpants is not a statement, nor is it an assertion made out of court. It is simply evidence of his personal taste and does not involve an out-of-court statement offered for its truth.
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	Non-assertive conduct	No	Michael's act of leaving the crime scene is nonverbal conduct and not an assertion. It is not a statement under the Federal Rules of Evidence, so it does not qualify as hearsay.
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	Non-assertive conduct	No	The fact that William was selected to speak at his graduation is not a statement; it is an act. The selection itself is not an assertion and is not being offered for the truth of any matter asserted, so it does not constitute hearsay under the Federal Rules of Evidence.
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	Non-assertive conduct	No	The fact that Mary went to the bank in disguise is not a statement; it is conduct. Hearsay only applies to statements, so this evidence is not hearsay under the Federal Rules of Evidence.
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	Non-assertive conduct	No	The presence of a poster with lyrics on Patricia's wall is not a statement made by Patricia; it is circumstantial evidence of her interests. It is not an out-of-court statement offered for the truth of the matter asserted, so it is not hearsay.
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	Non-assertive conduct	No	The fact that Linda worked with several editors is not a statement, nor is it being offered for the truth of any assertion made by an out-of-court declarant. It is simply evidence of Linda's process in preparing the article, not hearsay.
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	Non-assertive conduct	No	The fact that Barbara didn't consult her usual charts is not a statement, but rather a description of conduct. Hearsay only applies to out-of-court statements offered for the truth of the matter asserted, so this evidence is not hearsay.
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	Non-assertive conduct	No	The fact that Richard gave a speech in Chicago is not a statement being offered for its truth, but rather circumstantial evidence that he was present in Chicago. Therefore, it is not hearsay under the Federal Rules of Evidence.
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	No	The fact that Joseph and Thomas were neighbors during elementary school is not a statement, but rather a fact about their relationship. Hearsay only applies to out-of-court statements offered for the truth of the matter asserted, not to facts established by direct evidence.
