index	text	gold_answer	slice	llm_answer	llm_explanation
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	Non-assertive conduct	No	The fact that James came first in his class in law school is not a statement but rather a record of an event or achievement. It is not an out-of-court statement offered to prove the truth of the matter asserted, and therefore, it is not hearsay.
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	Non-assertive conduct	No	The fact that Robert fell asleep while driving is not a statement but rather an observation of conduct. Under the Federal Rules of Evidence, conduct is not considered hearsay, as hearsay pertains to out-of-court statements offered to prove the truth of the matter asserted.
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	Non-assertive conduct	No	The fact that John likes sweatpants is not a statement, and therefore, it cannot be hearsay. Hearsay involves an out-of-court statement offered to prove the truth of the matter asserted, which is not applicable here.
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	Non-assertive conduct	No	The fact that Michael left the crime scene immediately is not a statement but rather an action. Since it is not a statement, it does not qualify as hearsay under the Federal Rules of Evidence.
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	Non-assertive conduct	No	The fact that William was selected to speak at his graduation is not a statement but rather an action or event. It is not an out-of-court statement offered to prove the truth of the matter asserted, and therefore, it is not hearsay.
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	Non-assertive conduct	No	The fact that Mary went to the bank in disguise is not a statement but rather an action. Since it is not a statement, it cannot be considered hearsay under the Federal Rules of Evidence.
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	Non-assertive conduct	No	The fact that Patricia had a poster with the lyrics of 'Viva la Vida' on her bedroom wall is not a statement. It is a physical object and does not involve an assertion made by a person. Therefore, it is not hearsay.
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	Non-assertive conduct	No	The fact that Linda worked with several different editors to proofread and cross-check her article is not a statement made out of court. It is a description of her actions and processes, not an assertion of fact offered to prove the truth of the matter asserted. Therefore, it is not hearsay.
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	Non-assertive conduct	No	The fact that Barbara didn't consult with her usual charts while assessing Elizabeth is not a statement. It is an action or behavior, not an assertion made by a person. Therefore, it is not hearsay.
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	Non-assertive conduct	No	The fact that Richard gave a speech in Chicago in 2005 is not a statement but rather an event or action. Since it is not a statement, it does not qualify as hearsay under the Federal Rules of Evidence.
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	No	The statement is not offered to prove the truth of the matter asserted, but rather to show the relationship between Joseph and Thomas. It is used to establish the context of their acquaintance, not to assert that they were indeed neighbors.
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	Non-assertive conduct	No	The fact that Susan played the role of Macbeth and received a standing ovation is not a statement but rather an event or action. Since it is not a statement, it does not qualify as hearsay under the Federal Rules of Evidence.
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	Non-assertive conduct	No	The diagnosis by the ophthalmologist is a statement made out-of-court, but it is not being offered to prove the truth of the matter asserted (i.e., that Jessica was near-sighted) in the context of whether she was aware she was trespassing. Instead, it is relevant to her ability to perceive her surroundings, which is a different issue.
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	Non-assertive conduct	No	The fact that Sarah had worked for the corporation previously for four years is not a statement, but rather a piece of factual evidence. Since it is not a statement, it cannot be considered hearsay under the Federal Rules of Evidence.
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	Non-assertive conduct	No	The fact that Charles visited the website multiple times is not a statement but rather conduct. Since it is not a statement, it does not qualify as hearsay under the Federal Rules of Evidence.
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	Non-assertive conduct	No	The statement is not hearsay because it is not being offered to prove the truth of the matter asserted. Instead, it is being offered to show Karen's general driving ability, which is relevant to her operation of the forklift, not to prove she was negligent in this specific instance.
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	Non-assertive conduct	No	The fact that the corporation's chief scientist was known to cheat at card games is not a statement, but rather a fact about the scientist's reputation. Since it is not a statement, it does not qualify as hearsay under the Federal Rules of Evidence.
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	Non-assertive conduct	No	The statement is not offered to prove the truth of the matter asserted, but rather to show Christopher's state of mind, which is relevant to whether he acted with malice. Under the Federal Rules of Evidence, statements that are not offered for their truth are not considered hearsay.
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	Yes	The statement is an out-of-court statement offered to prove the truth of the matter asserted, namely that the parties had agreed to the contract. This makes it hearsay. There is no indication that it falls under any hearsay exception or exclusion.
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	No	The witness's statement in court is not hearsay because it is an in-court statement made by the witness under oath, subject to cross-examination, and not an out-of-court statement offered to prove the truth of the matter asserted.
