index	text	gold_answer	slice	llm_answer	llm_explanation
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	Non-assertive conduct	No	The fact that James came first in his class in law school is not an out-of-court statement; it is a fact or event. Hearsay only applies to out-of-court statements offered for the truth of the matter asserted, not to the occurrence of events or achievements.
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	Non-assertive conduct	No	The fact that Robert fell asleep while driving is not an out-of-court statement; it is an event or conduct. Hearsay only applies to statements made outside of court that are introduced to prove the truth of the matter asserted. Here, the evidence is based on Robert's actions, not a statement.
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	Non-assertive conduct	No	The fact that John likes sweatpants is not an out-of-court statement being introduced to prove the truth of the matter asserted regarding his knowledge of the conspiracy. It is simply a fact about John's preferences and does not constitute hearsay under the rule.
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	Non-assertive conduct	No	Michael's act of leaving the crime scene is not a statement; it is conduct, not an out-of-court assertion. The evidence is being introduced to show Michael's behavior, not to prove the truth of any matter asserted in a statement, so it is not hearsay.
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	Non-assertive conduct	No	The fact that William was selected to speak at his graduation is not an out-of-court statement; it is an action taken by the community or school. Since it is not a statement being offered for the truth of the matter asserted, it does not fall under the hearsay rule.
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	Non-assertive conduct	No	The fact that Mary went to the bank in disguise is not an out-of-court statement; it is a description of her conduct. Hearsay only applies to statements (oral, written, or assertive conduct) offered to prove the truth of the matter asserted, not to non-assertive actions.
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	Non-assertive conduct	No	The presence of a poster with song lyrics on Patricia's wall is not an out-of-court statement being introduced for the truth of the matter asserted. It is physical evidence that may suggest her musical preferences, but it is not a statement made by Patricia or anyone else offered to prove the truth of its content.
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	Non-assertive conduct	No	The fact that Linda worked with several different editors to proofread and cross-check her article is not an out-of-court statement being introduced to prove the truth of the matter asserted. It is evidence of the process by which the article was prepared, not a statement offered for its truth regarding Jennifer's reputation.
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	Non-assertive conduct	No	The fact that Barbara didn't consult with her usual charts is not a statement, nor is it an out-of-court assertion being introduced for its truth. It is evidence of Barbara's conduct, not a verbal or written assertion, and therefore does not fall under the hearsay rule.
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	Non-assertive conduct	No	The fact that Richard gave a speech in Chicago in 2005 is not an out-of-court statement being offered to prove the truth of the matter asserted. Instead, it is direct evidence of his physical presence in Chicago, which is the fact at issue. Therefore, the hearsay rule does not apply.
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	No	The fact that Joseph and Thomas were neighbors during elementary school is not an out-of-court statement being introduced for the truth of the matter asserted. It is simply a fact about their living situation, not a statement made by a person. Therefore, it does not fall under the hearsay rule.
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	Non-assertive conduct	No	The fact that Susan played the role of Macbeth and received a standing ovation is not an out-of-court statement being offered for the truth of the matter asserted. It is evidence of her familiarity with Shakespeare through her actions and public recognition, not a statement made by her or another person. Therefore, it does not fall under the hearsay rule.
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	Non-assertive conduct	No	The fact that Jessica had been diagnosed as near-sighted by her ophthalmologist is not an out-of-court statement being introduced to prove the truth of the matter asserted. Rather, it is evidence of her medical condition, not a statement made by someone for the truth of its contents. Therefore, it does not constitute hearsay.
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	Non-assertive conduct	No	The fact that Sarah had worked at the corporation previously for four years is not an out-of-court statement; it is evidence of her employment history. Since it is not a statement and is not being offered to prove the truth of any assertion made out of court, it does not fall under the hearsay rule.
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	Non-assertive conduct	No	The fact that Charles visited the website is not an out-of-court statement being introduced to prove the truth of the matter asserted. It is evidence of his conduct or actions, not a statement, and therefore does not fall under the hearsay rule.
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	Non-assertive conduct	No	The fact that Karen is a terrible driver who needed several tries to pass her commercial license test is not an out-of-court statement being introduced for the truth of the matter asserted. It is evidence of her driving ability and experience, not a statement made by someone else being offered for its truth.
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	Non-assertive conduct	No	The fact that the corporation's chief scientist was known to cheat at card games is not an out-of-court statement being introduced to prove the truth of the matter asserted regarding patent infringement. It is not a statement about the patent or its infringement, nor is it being used to prove that the patent was or was not infringed.
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	Non-assertive conduct	No	The fact that Christopher was often moody and had a large temper is not an out-of-court statement; it is evidence of his character or behavior. Since it is not a statement being introduced to prove the truth of the matter asserted, it does not fall under the hearsay rule.
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	No	The fact that one party had mistaken the identity of the other is not an out-of-court statement being introduced to prove the truth of the matter asserted. It is a fact about the party's state of mind or understanding at the time of the contract, not a statement made by someone outside of court. Therefore, it does not fall under the hearsay rule.
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	No	The witness's statement in court that she believed it was the blue sedan is not hearsay because it is not an out-of-court statement. The statement is being made by the witness while testifying in court, not being introduced to prove the truth of a statement made outside of court.
