index	text	gold_answer	slice	llm_answer	llm_explanation
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	Non-assertive conduct	No	The fact that James came first in his class in law school is not a statement made out of court; it is an event or fact. Hearsay requires an out-of-court statement offered for the truth of the matter asserted, and here, the evidence is a record or result, not a statement by a person.
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	Non-assertive conduct	No	Hearsay requires an out-of-court statement offered to prove the truth of the matter asserted. The fact that Robert fell asleep while driving is not a statement, but rather a physical act or condition, and thus does not constitute hearsay.
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	Non-assertive conduct	No	The fact that John likes sweatpants is not a statement, nor is it being introduced to prove the truth of any matter asserted by an out-of-court statement. It is simply evidence of a personal preference and does not involve hearsay under the legal definition.
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	Non-assertive conduct	No	Michael's act of leaving the crime scene is conduct, not a statement. Hearsay requires an out-of-court statement offered for the truth of the matter asserted, and nonverbal conduct is only hearsay if it was intended as an assertion. Here, leaving the scene is not an assertion, so it is not hearsay.
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	Non-assertive conduct	No	The fact that William was selected to speak at his graduation is not an out-of-court statement introduced to prove the truth of the matter asserted. It is circumstantial evidence of his standing in the community, not a statement made by someone outside of court offered for its truth.
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	Non-assertive conduct	No	Mary's act of going to the bank in disguise is conduct, not an out-of-court statement. Hearsay only applies to statements (oral, written, or assertive conduct) offered to prove the truth of the matter asserted, and here the evidence is of conduct, not a statement.
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	Non-assertive conduct	No	The presence of a poster with song lyrics on Patricia's wall is not an out-of-court statement being offered for the truth of the matter asserted. It is physical evidence of her interests or preferences, not a statement made by a person, so it does not fall within the definition of hearsay.
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	Non-assertive conduct	No	The fact that Linda worked with several editors to proofread and cross-check her article is not an out-of-court statement offered to prove the truth of the matter asserted. It is evidence of Linda's process in preparing the article, not a statement being used to prove Jennifer suffered reputational harm.
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	Non-assertive conduct	No	Barbara's failure to consult her usual charts is not a statement, but rather a nonverbal act. Hearsay requires an out-of-court statement (oral, written, or assertive nonverbal conduct) offered for the truth of the matter asserted. Here, the evidence is about Barbara's conduct, not a statement, so it is not hearsay.
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	Non-assertive conduct	No	The fact that Richard gave a speech in Chicago in 2005 is not an out-of-court statement being offered to prove the truth of the matter asserted. Instead, it is circumstantial evidence of his presence in Chicago, not a statement introduced for its truth, so it is not hearsay.
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	No	The fact that Joseph and Thomas were neighbors during elementary school is not an out-of-court statement being offered to prove the truth of the matter asserted. It is simply a fact about their relationship and living situation, not a statement made by a person outside of court.
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	Non-assertive conduct	No	The fact that Susan played the role of Macbeth and received a standing ovation is not an out-of-court statement being offered to prove the truth of the matter asserted. Instead, it is circumstantial evidence of her familiarity with Shakespeare, based on her actions and the audience's reaction, not a statement made by Susan or anyone else.
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	Non-assertive conduct	No	The fact that Jessica had been diagnosed as near-sighted by her ophthalmologist is not hearsay if it is introduced to show Jessica's medical condition (her near-sightedness), not to prove the truth of any statement made by the ophthalmologist. The diagnosis itself is an out-of-court statement, but if offered to show Jessica's state of mind or awareness, rather than the truth of the diagnosis, it is not hearsay.
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	Non-assertive conduct	No	The fact that Sarah had worked at the corporation previously for four years is not a statement, but rather evidence of her employment history. Hearsay requires an out-of-court statement offered for the truth of the matter asserted, and this is simply a fact about her prior employment, not a statement made by Sarah or anyone else.
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	Non-assertive conduct	No	The fact that Charles visited the website is not a statement, but rather evidence of conduct. Hearsay requires an out-of-court statement offered for the truth of the matter asserted, and mere evidence of someone's actions (such as visiting a website) does not qualify as hearsay.
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	Non-assertive conduct	No	The fact that Karen is a terrible driver who needed several tries to pass her commercial license test is not an out-of-court statement being offered for the truth of the matter asserted. It is evidence of her driving ability, not a statement made by someone outside of court, so it does not fall under the definition of hearsay.
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	Non-assertive conduct	No	The fact that the corporation's chief scientist was known to cheat at card games is not a statement being offered to prove the truth of the matter asserted regarding patent infringement. It is character evidence, not an out-of-court statement offered for its truth about the patent issue, and thus is not hearsay.
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	Non-assertive conduct	No	Evidence that Christopher was often moody and had a large temper is not an out-of-court statement being offered to prove the truth of the matter asserted. It is character evidence or evidence of his disposition, not hearsay, because it does not involve a statement made by a person outside of court being introduced for its truth.
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	No	The fact that one party had mistaken the identity of the other is not an out-of-court statement being offered to prove the truth of the matter asserted. It is a fact about the party's state of mind or understanding, not a statement made by someone outside of court. Therefore, it does not fall under the definition of hearsay.
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	No	The witness's in-court statement about her belief is not hearsay because it is not an out-of-court statement; it is a statement made under oath during the current trial. Hearsay only applies to statements made outside the current proceeding that are offered to prove the truth of the matter asserted.
20	On the issue of the faultiness of the designed house, the drawing the witness made on the stand during testimony.	No	Statement made in-court	No	A drawing made by the witness on the stand during testimony is not hearsay because it is not an out-of-court statement. It is a demonstrative aid created in court to illustrate the witness's testimony, not a statement made outside of court offered for the truth of the matter asserted.
21	On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit.	No	Statement made in-court	No	The witness's act of pointing to the man in the blue suit is nonverbal conduct intended to identify the person, not to assert a fact about the crime. Under the hearsay rule, only statements (verbal or nonverbal) intended as an assertion are hearsay; here, the act is not an assertion of the truth of the matter but an identification, which is not hearsay.
22	On the issue of whether Ana lied to Jim, Jim's statement on cross-examination that he did not believe Ana to be an honest individual.	No	Statement made in-court	No	Jim's statement that he did not believe Ana to be an honest individual is not hearsay because it is not an out-of-court statement offered to prove the truth of the matter asserted. Rather, it is Jim's in-court expression of his own belief or opinion about Ana's honesty, which is not a statement made outside of court nor is it being offered for its truth.
23	On the issue of whether Daniel drove negligently, the fact that Daniel testified during the trial that he told his wife he was tired before driving into a tree.	No	Statement made in-court	Yes	Daniel's statement to his wife that he was tired is an out-of-court statement being offered to prove the truth of the matter asserted—that he was, in fact, tired before the accident. This fits the definition of hearsay under the rules of evidence.
24	On the issue of whether Carl had knowledge of Amy's intentions, Carl told the questioning attorney on redirect examination that he knew Amy's intentions.	No	Statement made in-court	Yes	Carl's statement on the stand that he knew Amy's intentions is an out-of-court statement (his prior knowledge) being offered to prove the truth of the matter asserted (that he actually had knowledge of Amy's intentions). Therefore, it is hearsay unless an exception applies.
25	"On the issue of whether Nancy knew who attacked her, Nancy's statement in court, ""I was attacked by Sandra."""	No	Statement made in-court	No	Nancy's statement in court is not hearsay because it is an in-court statement made by the declarant while testifying at the current trial or hearing. Hearsay only applies to out-of-court statements offered to prove the truth of the matter asserted.
26	During the trial, Mark nodded when asked if it was him who vandalized Emily's garage.	No	Statement made in-court	Yes	A nonverbal assertion, such as a nod, can be considered a statement for hearsay purposes if it is intended as an assertion. Here, Mark's nod in response to the question is an out-of-court statement offered to prove the truth of the matter asserted (that he vandalized Emily's garage), so it is hearsay.
27	On the issue of which employee saw Emily last, the fact that James testified on the stand that he was on vacation that day and had last spoken to Emily the week before.	No	Statement made in-court	No	James's testimony about his own actions and statements is not hearsay because he is testifying in court about his own direct knowledge. Hearsay involves an out-of-court statement offered for the truth of the matter asserted, but here, James is not relaying someone else's statement; he is providing his own account.
28	"On the issue of whether Will knew that the company intended to announce its drug trials had been cancelled, the fact that he told the jury that ""he didn't know the first thing about how medicines worked."""	No	Statement made in-court	No	Will's statement, 'he didn't know the first thing about how medicines worked,' is not being offered to prove the truth of the matter asserted (that he lacks knowledge about medicines), but rather to show his state of mind or knowledge regarding the company's drug trials. Statements offered to show knowledge, belief, or state of mind are generally not hearsay.
29	On the issue of the defendant's guilt, Alex told the jury that he believed the defendant was guilty.	No	Statement made in-court	No	Alex's statement is an expression of his belief or opinion, not an assertion of a fact offered to prove the truth of the matter asserted. Hearsay requires an out-of-court statement offered for its truth, but a witness's in-court opinion about guilt is not hearsay, though it may be objectionable on other grounds (e.g., improper opinion).
