index	text	gold_answer	slice	llm_answer	llm_explanation
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	Non-assertive conduct	No	The fact that James came first in his class in law school is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a record of an academic achievement, which is considered direct evidence of his intelligence.
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	Non-assertive conduct	No	The fact that Robert fell asleep while driving is not hearsay because it is not an out-of-court statement. Hearsay involves statements made outside of court to prove the truth of the matter asserted, whereas falling asleep while driving is a direct observation of Robert's conduct, not a statement.
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	Non-assertive conduct	No	The fact that John likes sweatpants is not a statement made by John or anyone else. Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted, and liking sweatpants is not a statement but rather a personal preference or behavior.
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	Non-assertive conduct	No	The fact that Michael left the crime scene immediately is not hearsay because it is not an out-of-court statement. Instead, it is an action or conduct that can be observed and used as circumstantial evidence to infer guilt or consciousness of guilt.
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	Non-assertive conduct	No	The fact that William was selected to speak at his graduation is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a direct piece of evidence showing recognition and respect from the community, which can be used to infer that he was loved by his community.
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	Non-assertive conduct	No	The fact that Mary went to the bank in disguise is not hearsay because it is not an out-of-court statement. Instead, it is an action or conduct that can be directly observed and does not rely on someone else's assertion to prove the truth of the matter asserted.
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	Non-assertive conduct	No	The fact that Patricia had a poster with the lyrics of 'Viva la Vida' on her bedroom wall is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is physical evidence that may suggest Patricia's interest in Coldplay, but it does not involve any assertion made by Patricia outside of court.
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	Non-assertive conduct	No	The fact that Linda worked with several different editors to proofread and cross-check her article is not hearsay. This evidence pertains to the process of creating the article, not an out-of-court statement introduced to prove the truth of the matter asserted. It is relevant to the diligence and accuracy of the article's preparation, not to the truth of any statements within the article.
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	Non-assertive conduct	No	The fact that Barbara didn't consult with her usual charts while assessing Elizabeth is not a statement made out of court. It is an action or omission by Barbara, not a statement intended to prove the truth of the matter asserted. Therefore, it does not qualify as hearsay.
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	Non-assertive conduct	No	The fact that Richard gave a speech in Chicago in 2005 is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a direct piece of evidence showing that Richard was present in Chicago, which directly supports the assertion that he had visited the city.
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	No	The fact that Joseph and Thomas were neighbors during elementary school is not an out-of-court statement. It is a matter of historical fact that can be established through other evidence, such as school records or testimony from other neighbors, and does not rely on someone's assertion to prove the truth of the matter.
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	Non-assertive conduct	No	The fact that Susan played the role of Macbeth and received a standing ovation is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is direct evidence of her familiarity with Shakespeare through her performance experience.
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	Non-assertive conduct	No	The fact that Jessica was diagnosed as near-sighted by her ophthalmologist is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a medical diagnosis that may be relevant to her awareness of her surroundings, but it is not being used to prove the truth of any statement made by the ophthalmologist.
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	Non-assertive conduct	No	The fact that Sarah had worked for the corporation previously for four years is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a fact about Sarah's employment history, which can be used to establish her potential role or relationship with the corporation.
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	Non-assertive conduct	No	The fact that Charles visited the website multiple times is not an out-of-court statement. It is a piece of circumstantial evidence that may suggest familiarity or involvement, but it does not involve someone asserting a fact outside of court to prove the truth of the matter asserted.
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	Non-assertive conduct	Yes	The statement that Karen is a terrible driver who needed several tries to pass her commercial license test is an out-of-court statement being introduced to prove the truth of the matter asserted, namely, that Karen negligently operated the forklift. This fits the definition of hearsay, as it relies on the truth of an out-of-court statement to establish a fact in question.
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	Non-assertive conduct	No	The fact that the corporation's chief scientist was known to cheat at card games is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is being used to suggest a character trait that might imply a propensity for dishonesty, which is relevant to the issue of patent infringement. However, it is important to note that character evidence is generally inadmissible to prove conduct in conformity therewith, except under specific circumstances.
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	Non-assertive conduct	No	The fact that Christopher was often moody and had a large temper is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is character evidence that may be used to infer his state of mind or intent, which is relevant to whether he acted with malice.
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	No	The fact that one of the parties had mistaken the identity of the other party is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is a statement of the party's own belief or understanding, which is relevant to the issue of whether a valid contract was formed due to a mutual mistake.
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	No	The witness's statement in court is not hearsay because it is a direct observation made by the witness. Hearsay involves out-of-court statements introduced to prove the truth of the matter asserted, but here the witness is testifying in court about her belief based on her own perception.
20	On the issue of the faultiness of the designed house, the drawing the witness made on the stand during testimony.	No	Statement made in-court	No	The drawing made by the witness on the stand during testimony is not hearsay because it is not an out-of-court statement. Hearsay involves statements made outside of the current court proceedings, whereas the drawing is created and presented directly in court as part of the witness's testimony.
21	On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit.	No	Statement made in-court	No	The act of the witness pointing to the man in the blue suit is a non-verbal conduct intended as an assertion, but it is not an out-of-court statement. Hearsay involves statements, and here, the witness's gesture is being used to identify the defendant, which is a direct observation rather than a statement made outside of court.
